smiles,gap_reward,sim_reward,reward,C,uncertainty
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)s2)ccc2c1ccc1c3c(F)c(F)c4c5ccc6c(C)c(-c7ccc(C=CC=CC=C8C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)s7)ccc6c5n(C)c4c3n(C)c21,2.394034948811771,0.40217391304347827,-5.008165383594379,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(C(F)(F)F)ccc5C4=C(C#N)C#N)cc3)c3nsnc23)oc2c3ccc4c5ccc6c7oc(-c8ccc(-c9ccc(C=C%10C(=O)c%11cc(C(F)(F)F)ccc%11C%10=C(C#N)C#N)cc9)c9nsnc89)c(C)c7n(C)c6c5c5nsnc5c4c3n(C)c12,2.458907349968499,0.33653846153846156,-4.646407349968499,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc3)c3nsnc23)oc2c3cnc4c5ncc6c7oc(-c8ccc(-c9ccc(C=C%10C(=O)c%11cc(F)c(F)cc%11C%10=C(C#N)C#N)cc9)c9nsnc89)c(C)c7n(C)c6c5c5nonc5c4c3n(C)c12,2.6365705466046667,0.32710280373831774,-4.7627387709037325,0.53,0
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4c(ccc(Br)c4Cl)C3=C(C#N)C#N)s2)cnc2c1oc1c2ncc2c3cnc4c5ncc(-c6ccc(C=CC=CC=C7C(=O)c8c(ccc(Br)c8Cl)C7=C(C#N)C#N)s6)c(C)c5oc4c3c3nccnc3c21,2.5401588942878397,0.38613861386138615,-5.050059884386849,0.53,0
Cc1nc2c(nc1C)c1c(cnc3c4ncc(C=CC=Cc5ccc(C=C6C(=O)c7cc(Br)c(Cl)cc7C6=C(C#N)C#N)c6nsnc56)c(C)c4sc31)c1cnc3c4ncc(C=CC=Cc5ccc(C=C6C(=O)c7cc(Br)c(Cl)cc7C6=C(C#N)C#N)c6nsnc56)c(C)c4sc3c12,2.391143443232683,0.33653846153846156,-4.578643443232683,0.53,0
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc5sccc5cc4C3=C(C#N)C#N)c3nsnc23)oc2c1cnc1c2sc2c3sc4c(ncc5c(C)c(C=CC=Cc6ccc(C=C7C(=O)c8cc9sccc9cc8C7=C(C#N)C#N)c7nsnc67)oc54)c3c(F)c(F)c12,2.3534324422819712,0.3063063063063063,-4.344423433272962,0.53,0
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc5sc(Br)cc5cc4C3=C(C#N)C#N)c3nsnc23)ncc2c1oc1c2ccc2c3ccc4c5cnc(C=CC=Cc6ccc(C=C7C(=O)c8cc9sc(Br)cc9cc8C7=C(C#N)C#N)c7nsnc67)c(C)c5oc4c3c3nn(C)nc3c21,2.5130768627170585,0.30973451327433627,-4.526351199000244,0.53,0
Cc1c(C=CC=CC=CC=CC=C2C(=O)c3c(ccc(Br)c3Cl)C2=C(C#N)C#N)n(C)c2c1cnc1c2ncc2c3cnc4c(ncc5c(C)c(C=CC=CC=CC=CC=C6C(=O)c7c(ccc(Br)c7Cl)C6=C(C#N)C#N)n(C)c54)c3c3nsnc3c21,2.1060239176993623,0.6071428571428571,-6.052452489127933,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(Br)c(Br)cc5C4=C(C#N)C#N)c4nsnc34)c3nsnc23)ncc2c1ccc1c2oc2c3oc4c5cnc(-c6ccc(-c7ccc(C=C8C(=O)c9cc(Br)c(Br)cc9C8=C(C#N)C#N)c8nsnc78)c7nsnc67)c(C)c5ccc4c3c(F)c(F)c12,2.6077343005149722,0.2980769230769231,-4.545234300514972,0.53,0
Cc1c(C=C2C(=O)c3c(ccc(Br)c3Cl)C2=C(C#N)C#N)cnc2c1n(C)c1c3c4nn(C)nc4c4c5c(c6ncc(C=C7C(=O)c8c(ccc(Br)c8Cl)C7=C(C#N)C#N)c(C)c6n5C)n(C)c4c3n(C)c21,2.541149744626665,0.38202247191011235,-5.0242958120423955,0.53,0
