best_smiles,reward,gap_reward,sim_reward
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4c(ccc(Br)c4Cl)C3=C(C#N)C#N)c3nsnc23)sc2c1sc1c2oc2c3oc4c5sc(C=CC=Cc6ccc(C=C7C(=O)c8c(ccc(Br)c8Cl)C7=C(C#N)C#N)c7nsnc67)c(C)c5sc4c3c3nccnc3c21,-5.092857663012039,2.0459826630120386,0.46875
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5c(csc5Cl)C4=C(C#N)C#N)s3)[nH]2)oc2c1ncc1c2ncc2c3cnc4c(cnc5c(C)c(-c6ccc(-c7ccc(C=C8C(=O)c9c(csc9Cl)C8=C(C#N)C#N)s7)[nH]6)oc54)c3c3nonc3c21,-4.940517993284928,2.316664782275754,0.4036697247706422
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cscc5C4=C(C#N)C#N)[nH]3)s2)sc2c1oc1c2oc2c3oc4c(oc5c(C)c(-c6ccc(-c7ccc(C=C8C(=O)c9cscc9C8=C(C#N)C#N)[nH]7)s6)sc54)c3c(F)c(F)c12,-4.719248516323045,2.3277390823607806,0.3679245283018867
Cc1nc2c(nc1C)c1c3c(c4c(c(C)c(-c5ccc(C=CC=CC=C6C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)s5)n4C)n3C)n(C)c1c1c2c2c(c3c(c(C)c(-c4ccc(C=CC=CC=C5C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s4)n3C)n2C)n1C,-4.972579788059831,1.7225797880598313,0.5
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(C(F)(F)F)ccc5C4=C(C#N)C#N)c4nsnc34)[nH]2)n(C)c2c1oc1c2cnc2c3ncc4c(oc5c(C)c(-c6ccc(-c7ccc(C=C8C(=O)c9cc(C(F)(F)F)ccc9C8=C(C#N)C#N)c8nsnc78)[nH]6)n(C)c54)c3c3nsnc3c21,-5.118772799455886,2.0125781091904,0.4778761061946903
Cc1c(C=CC=CC=CC=CC=C2C(=O)c3cscc3C2=C(C#N)C#N)sc2c1oc1c3c4nn(C)nc4c4c5oc6c(C)c(C=CC=CC=CC=CC=C7C(=O)c8cscc8C7=C(C#N)C#N)sc6c5n(C)c4c3n(C)c12,-4.826054683250423,1.539537829317839,0.5056179775280899
Cc1nc2c(nc1C)c1c3c(c4oc(-c5ccc(-c6ccc(C=C7C(=O)c8cc9sccc9cc8C7=C(C#N)C#N)s6)c6nsnc56)c(C)c4n3C)n(C)c1c1c2c2c(c3oc(-c4ccc(-c5ccc(C=C6C(=O)c7cc8sccc8cc7C6=C(C#N)C#N)s5)c5nsnc45)c(C)c3n2C)n1C,-5.002702300386705,1.9979853192546304,0.4622641509433962
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc(Br)c(Cl)cc4C3=C(C#N)C#N)s2)sc2c1cnc1c2ccc2c3ccc4c(ncc5c(C)c(C=CC=Cc6ccc(C=C7C(=O)c8cc(Br)c(Cl)cc8C7=C(C#N)C#N)s6)sc54)c3c3ccccc3c21,-5.100667051071954,2.260861225829236,0.4368932038834951
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4c(csc4Cl)C3=C(C#N)C#N)[nH]2)oc2c1sc1c2oc2c3oc4c5oc(-c6ccc(C=CC=CC=C7C(=O)c8c(csc8Cl)C7=C(C#N)C#N)[nH]6)c(C)c5sc4c3c3nn(C)nc3c21,-5.0252695320523575,1.8444184682225704,0.4893617021276595
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc5sc(Br)cc5cc4C3=C(C#N)C#N)s2)oc2c1sc1c2sc2c3sc4c5oc(C=CC=Cc6ccc(C=C7C(=O)c8cc9sc(Br)cc9cc8C7=C(C#N)C#N)s6)c(C)c5sc4c3c(F)c(F)c12,-5.130668792557557,2.1540332785388663,0.4579439252336448
