smiles,gap_dft
FC(C1=c2cc3c(cc2-c2c1sc1ccccc21)=C(C1(c2c[nH]c4nccnc24)CCCCC1)c1sc2ccccc2c1-3)c1cnon1,1.089
C1=C(c2csc(-c3csc4cc(C5=c6cc7cc8c(cc7cc6-c6c5sc5ccccc65)=C(c5cnno5)c5oc6ccccc6c5-8)sc34)c2)CC1,1.278
C1=CC(C2=CCCC=C2)=CNC=1C1=c2cc3c(cc2-c2c1sc1ccccc21)=C(c1nnnnc1-c1ccc2c(c1)oc1ccccc12)c1sc2ccccc2c1-3,0.831
CCCC(N)CSCCSCn1c2c(c3ccccc31)-c1cc3cc4c(cc3cc1=C2c1nccc2c1oc1cnccc12)-c1c(n(-c2cc(C3=Nc5cccc6c5C5N(C=CN35)C6)cs2)c2ccccc12)C=4c1nccc2c1oc1cnccc12,1.09
C=CC(=CC=CC=CC=CC#N)c1nc(C2=c3cc4c(cc3-c3c2sc2ccccc32)=C(c2ccc3c(c2)C(=O)OC3=O)c2sc3ccccc3c2-4)no1,0.863
C=CC(=O)OCc1c[nH]nc1C1=c2cc3c(cc2-c2c1sc1ccccc21)=C(c1sc(CCN(C)C(=N)N)c2nnsc12)c1sc2ccccc2c1-3,1.075
CCCOC(=O)C=CC1NCC=CC1=Cn1c2c(c3ccccc31)-c1cc3cc4c(cc3cc1=C2c1sc(-c2nccs2)c2c1OCO2)-c1c(n(-c2ncc3nc[nH]c3n2)c2ccccc12)C=4c1sc(-c2nccs2)c2c1OCO2,1.166
[C-]#[N+]C(C#N)=C1C(=C(C)C2=c3cc4cc5c(cc4cc3-c3c2oc2ccccc32)=C(C#CCc2ccc3c(c2)OC2C=CC=CC32)c2c-5c3ccccc3n2-c2cccc3c2C(c2nc4c5c(cccc5n2)Sc2ccccc2-4)C3)C(=O)c2ccccc21,1.12
CC(=CC1=c2cc3cc4c(cc3cc2-c2c1oc1ccccc21)=C(C1Nc2ccccc2-c2nc3ccccc3n21)c1oc2ccccc2c1-4)c1c[nH]c(-c2ncnc3[nH]ccc23)nc1=O,1.306
[C-]#[N+]C(=C(C#N)C(=O)NC(C)(C)C#C)C1=c2cc3cc4c(cc3cc2-c2sc3ccccc3c21)=C(C(=O)OCCOC(=O)c1sc2cccc3c5csc6cccc(c1c23)c65)c1c-4sc2ccccc12,1.184
CN(C)CC#CC1=c2cc3cc4c(cc3cc2-c2c1oc1ccccc21)=C(COC(=O)CCC1=CC=C(c2cc3cnccn3n2)S1=O)c1oc2ccccc2c1-4,1.273
C=C(C=CC=CC1=c2cc3c(cc2-c2c1sc1ccccc21)=C(C(C)CC(CC)C1=CCC=C1)c1sc2ccccc2c1-3)C(CC)(CC)CCCCC(C)(CC)C(C)(CC)CC,1.296
N#CC(C1=c2cc3c(cc2-c2c1sc1ccccc21)=C(c1nc2c(s1)NC(c1cnc4c(ccc5ccccc54)c1)=[SH]2)c1sc2ccccc2c1-3)c1ccc2nsnc2c1,0.936
CCC(=O)OCCCCCCCNC(=O)C1C=C(C2=c3cc4cc5c(cc4cc3C3=C2c2ccccc2S3(=O)=O)=C([c-]2n3cccc3cc3ccc[n+]2-3)c2c-5oc3ccccc23)N=N1,1.236
C=CC(=O)OC(C)(CC)C(=O)OCCOC(=O)C1=CC(C2=c3cc4cc5c(cc4cc3-c3c2oc2ccccc32)=C(C#CC#CC=C2N=CC3=C2C2C=CC=C4C=CC=C3C42)c2oc3ccccc3c2-5)CC=C1,1.264
N#CC(CC#CC1=c2cc3cc4c(cc3cc2-c2c1sc1ccccc21)=C(c1cc2cc3c5c(c2oc1=O)CCCN5CCC3)c1c-4c2ccccc2n1C=C1C(=O)c2nccnc2C1=O)c1ccc2c(n1)-c1ncccc1C2,1.293
C=CC(=CC=CC1=c2cc3c(cc2-c2c1sc1ccccc21)=C(C1(c2cc4cnccn4c2)C=N1)c1sc2ccccc2c1-3)c1cccc2c1CC1CCCCC1C2,1.185
O=C(O)C(=CC1=c2cc3c(cc2-c2c1sc1ccccc21)=C(C1C=CC(c2ccc4oc5cccnc5c4n2)S1)c1sc2ccccc2c1-3)c1ccc2c(n1)C1N=CC=CC1C=C2,0.931
CC(=O)CNC(=O)C1=c2cc3cc4c(cc3cc2-c2c1oc1ccccc21)=C(C(=O)C=CC(=O)C1(c2ccc3c(c2)c2cccc5c6ccccc6n3c52)C=N1)c1oc2ccccc2c1-4,1.122
CC(NC(=O)COCCCCCCc1ccc2c(c1)c1cccc3c1n2-c1cocc1O3)C1=c2cc3c(cc2-c2c1sc1ccccc21)=C([Si](Cl)(Cl)Cl)c1sc2ccccc2c1-3,0.842
CCC(CC)Cc1nnc(C2=c3cc4cc5c(cc4cc3-c3c2oc2ccccc32)=C(C2=C=CC([Si](Cl)(Cl)Cl)=CN2)c2oc3ccccc3c2-5)nn1,1.182
CC12CCC(C)(C1)c1c(CC#CC3=c4cc5c(cc4-c4c3sc3ccccc43)=C(C3C4C=CC(O4)C3c3cc4c(cn3)oc3ccccc34)c3sc4ccccc4c3-5)cccc12,1.142
CC(=CC1=c2cc3c(cc2-c2sc4ccccc4c21)=C(C(C)=NOC(=O)CC(=O)NC12CC4CC(CC(C4)C1)C2)c1c-3sc2ccccc12)c1cc2sc3cscc3c2s1,1.116
C=c1c(=CC)c(=O)nc2n1C(c1ncc(C3=c4cc5c(cc4-c4sc6ccccc6c43)=C(C(C)=CC(=O)c3cc4cnccn4n3)c3c-5sc4ccccc34)c(=O)[nH]1)=NC2,1.13
CCC=C(C)c1sc(C2=c3cc4cc5c(cc4cc3-c3c2n(C2=NC4SC(C6NC(=O)OC6=O)=NC4S2)c2ccccc32)=C(c2ncnc3[nH]c4ccccc4c23)c2c-5c3ccccc3n2C2=NC3SC(C4NC(=O)OC4=O)=NC3S2)c2nnsc12,1.196
CCC(=C(C#N)C1=c2cc3cc4c(cc3cc2-c2c1oc1ccccc21)=C(c1nnnnc1C1=Cc2ccccc2C2CC=CC=C12)c1oc2ccccc2c1-4)c1cccc2c1C1CCC2O1,1.199
C=S1C2=C(c3ccccc31)c1cc3cc4c(cc3cc1=C2c1cc(-c2nc(C3=CCC5C=Cc6cccc7ccc3c5c67)c[nH]2)[nH]c(=O)n1)C1=C(C=4c2ccc3c(c2)c2cccc4c5ccccc5n3c42)S(=O)(=O)c2ccccc21,1.599
O=COCC=CC(=O)C1=c2cc3c(cc2-c2c1sc1ccccc21)=C(C=C(C(=O)O)c1ccn2c1CCCC2)c1sc2ccccc2c1-3,0.781
[C-]#[N+]C(=Cc1ncc2nc[nH]c2n1)C1=c2cc3cc4c(cc3cc2C2=C1S(=O)(=O)c1ccccc12)=C(C1C=CC=C1C=C1N=Cc2cc3ccccc3cc21)c1sc2ccccc2c1-4,0.608
