smiles,gap_dft
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(C(F)(F)F)ccc5C4=C(C#N)C#N)c4nsnc34)[nH]2)n(C)c2c1oc1c2cnc2c3ncc4c(oc5c(C)c(-c6ccc(-c7ccc(C=C8C(=O)c9cc(C(F)(F)F)ccc9C8=C(C#N)C#N)c8nsnc78)[nH]6)n(C)c54)c3c3nsnc3c21,2.032
Cc1nc2c(nc1C)c1c3c(c4oc(-c5ccc(-c6ccc(C=C7C(=O)c8cc9sccc9cc8C7=C(C#N)C#N)s6)c6nsnc56)c(C)c4n3C)n(C)c1c1c2c2c(c3oc(-c4ccc(-c5ccc(C=C6C(=O)c7cc8sccc8cc7C6=C(C#N)C#N)s5)c5nsnc45)c(C)c3n2C)n1C,1.952
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc(Br)c(Cl)cc4C3=C(C#N)C#N)s2)sc2c1cnc1c2ccc2c3ccc4c(ncc5c(C)c(C=CC=Cc6ccc(C=C7C(=O)c8cc(Br)c(Cl)cc8C7=C(C#N)C#N)s6)sc54)c3c3ccccc3c21,2.361
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4c(csc4Cl)C3=C(C#N)C#N)[nH]2)oc2c1sc1c2oc2c3oc4c5oc(-c6ccc(C=CC=CC=C7C(=O)c8c(csc8Cl)C7=C(C#N)C#N)[nH]6)c(C)c5sc4c3c3nn(C)nc3c21,1.915
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc5sc(Br)cc5cc4C3=C(C#N)C#N)s2)oc2c1sc1c2sc2c3sc4c5oc(C=CC=Cc6ccc(C=C7C(=O)c8cc9sc(Br)cc9cc8C7=C(C#N)C#N)s6)c(C)c5sc4c3c(F)c(F)c12,2.048
Cc1c(C=C2C(=O)c3c(csc3Cl)C2=C(C#N)C#N)sc2c3oc4c5oc6c7sc(C=C8C(=O)c9c(csc9Cl)C8=C(C#N)C#N)c(C)c7n(C)c6c5c(F)c(F)c4c3n(C)c12,2.31
Cc1c(C=CC=CC=CC=CC=C2C(=O)c3c(ccc(Br)c3Cl)C2=C(C#N)C#N)n(C)c2c1sc1c3c4nn(C)nc4c4c5sc6c(C)c(C=CC=CC=CC=CC=C7C(=O)c8c(ccc(Br)c8Cl)C7=C(C#N)C#N)n(C)c6c5n(C)c4c3n(C)c12,1.421
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)c3nsnc23)sc2c1oc1c2sc2c3sc4c(oc5c(C)c(-c6ccc(C=CC=CC=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)c7nsnc67)sc54)c3c3nonc3c12,2.036
Cc1c(C=CC=CC=CC=CC=C2C(=O)c3c(csc3Cl)C2=C(C#N)C#N)oc2c3sc4c5sc6c7oc(C=CC=CC=CC=CC=C8C(=O)c9c(csc9Cl)C8=C(C#N)C#N)c(C)c7n(C)c6c5c5ccccc5c4c3n(C)c12,1.54
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc5sc(Br)cc5cc4C3=C(C#N)C#N)[nH]2)n(C)c2c3ccc4c5ccc6c7c(c(C)c(C=CC=Cc8ccc(C=C9C(=O)c%10cc%11sc(Br)cc%11cc%10C9=C(C#N)C#N)[nH]8)n7C)n(C)c6c5c5nccnc5c4c3n(C)c12,2.117
