smiles,homo,gap,lumo
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)s2)oc2c1oc1c3c4nonc4c4c5oc6c(C)c(-c7ccc(C=CC=CC=C8C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)s7)oc6c5n(C)c4c3n(C)c21,-6.810383816158851,1.941,-2.4078810403044
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc(Cl)c(Br)cc4C3=C(C#N)C#N)s2)n(C)c2c3ncc4c5cnc6c7c(c(C)c(-c8ccc(C=CC=CC=C9C(=O)c%10cc(Cl)c(Br)cc%10C9=C(C#N)C#N)s8)n7C)n(C)c6c5c5ccccc5c4c3n(C)c12,-6.965298231248499,2.125,-2.3781117850597
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc6sccc6cc5C4=C(C#N)C#N)[nH]3)s2)ccc2c1ccc1c2sc2c3sc4c5ccc(-c6ccc(-c7ccc(C=C8C(=O)c9cc%10sccc%10cc9C8=C(C#N)C#N)[nH]7)s6)c(C)c5ccc4c3c3nn(C)nc3c12,-7.45327999935015,2.694,-1.7984004379545
Cc1nc2c(nc1C)c1c3c(c4sc(-c5ccc(-c6ccc(C=C7C(=O)c8c(Cl)cc(Br)cc8C7=C(C#N)C#N)c7nsnc67)c6nsnc56)c(C)c4n3C)n(C)c1c1c2c2c(c3sc(-c4ccc(-c5ccc(C=C6C(=O)c7c(Cl)cc(Br)cc7C6=C(C#N)C#N)c6nsnc56)c5nsnc45)c(C)c3n2C)n1C,-6.55443352837855,1.903,-2.5040460750711
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(C(F)(F)F)ccc5C4=C(C#N)C#N)cc3)c3nsnc23)oc2c3ccc4c5ccc6c7oc(-c8ccc(-c9ccc(C=C%10C(=O)c%11cc(C(F)(F)F)ccc%11C%10=C(C#N)C#N)cc9)c9nsnc89)c(C)c7n(C)c6c5c5nsnc5c4c3n(C)c12,-7.122716093762751,2.441,-2.288477482705
Cc1nc2c(nc1C)c1c3oc4c(C)c(C=C5C(=O)c6c(ccc(Br)c6Cl)C5=C(C#N)C#N)ccc4c3n(C)c1c1c2c2oc3c(C)c(C=C4C(=O)c5c(ccc(Br)c5Cl)C4=C(C#N)C#N)ccc3c2n1C,-7.40805467739705,2.479,-2.2511978851865
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc6sc(Br)cc6cc5C4=C(C#N)C#N)s3)c3nsnc23)ncc2c3ccc4c5ccc6c7cnc(-c8ccc(-c9ccc(C=C%10C(=O)c%11cc%12sc(Br)cc%12cc%11C%10=C(C#N)C#N)s9)c9nsnc89)c(C)c7n(C)c6c5c5nonc5c4c3n(C)c12,-7.8355727479176,2.638,-2.2692662448597
Cc1nc2c(nc1C)c1c(ccc3c1ccc1c(C)c(C=CC=CC=C4C(=O)c5c(ccc(Br)c5Cl)C4=C(C#N)C#N)n(C)c13)c1ccc3c(ccc4c(C)c(C=CC=CC=C5C(=O)c6c(ccc(Br)c6Cl)C5=C(C#N)C#N)n(C)c43)c12,-7.3115086832396505,2.249,-2.30249134600575
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4c(Cl)cc(Br)cc4C3=C(C#N)C#N)c3nsnc23)ncc2c1sc1c2sc2c3sc4c5cnc(C=CC=Cc6ccc(C=C7C(=O)c8c(Cl)cc(Br)cc8C7=C(C#N)C#N)c7nsnc67)c(C)c5sc4c3c(F)c(F)c12,-7.629201603698401,2.334,-2.56714927700205
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5c(csc5Cl)C4=C(C#N)C#N)s3)cc2)ncc2c1sc1c2cnc2c3ncc4c5cnc(-c6ccc(-c7ccc(C=C8C(=O)c9c(csc9Cl)C8=C(C#N)C#N)s7)cc6)c(C)c5sc4c3c3nn(C)nc3c21,-8.020283629637,2.706,-2.1813734711482002
Cc1c(C=C2C(=O)c3cc(Cl)c(Br)cc3C2=C(C#N)C#N)sc2c1sc1c2ccc2c3ccc4c5sc(C=C6C(=O)c7cc(Cl)c(Br)cc7C6=C(C#N)C#N)c(C)c5sc4c3c3ccccc3c21,-7.9834938370494,2.636,-2.43430329518795
Cc1c(-c2ccc(C=C3C(=O)c4cc5sccc5cc4C3=C(C#N)C#N)[nH]2)ncc2c1ncc1c2ncc2c3cnc4c5cnc(-c6ccc(C=C7C(=O)c8cc9sccc9cc8C7=C(C#N)C#N)[nH]6)c(C)c5ncc4c3c3nsnc3c21,-7.83478361775115,2.791,-2.2636062767693
Cc1c(-c2ccc(C=C3C(=O)c4c(ccc(Br)c4Cl)C3=C(C#N)C#N)[nH]2)sc2c1ncc1c2cnc2c3ncc4c(cnc5c(C)c(-c6ccc(C=C7C(=O)c8c(ccc(Br)c8Cl)C7=C(C#N)C#N)[nH]6)sc54)c3c3ccccc3c12,-7.7821295876794006,2.658,-2.146434052744
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc(Cl)c(Br)cc4C3=C(C#N)C#N)c3nsnc23)sc2c1ncc1c2cnc2c3ncc4c(cnc5c(C)c(-c6ccc(C=CC=CC=C7C(=O)c8cc(Cl)c(Br)cc8C7=C(C#N)C#N)c7nsnc67)sc54)c3c3ccccc3c12,-7.6840597559592005,2.47,-2.4587119075778
Cc1nc2c(nc1C)c1c(cnc3c4ccc(-c5ccc(C=C6C(=O)c7cc8sccc8cc7C6=C(C#N)C#N)cc5)c(C)c4oc31)c1cnc3c4ccc(-c5ccc(C=C6C(=O)c7cc8sccc8cc7C6=C(C#N)C#N)cc5)c(C)c4oc3c12,-7.86096097016925,3.172,-1.9045248396495
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5c(Cl)cc(Br)cc5C4=C(C#N)C#N)c4nsnc34)c3nsnc23)oc2c1n(C)c1c3c4nn(C)nc4c4c5c(c6oc(-c7ccc(-c8ccc(C=C9C(=O)c%10c(Cl)cc(Br)cc%10C9=C(C#N)C#N)c9nsnc89)c8nsnc78)c(C)c6n5C)n(C)c4c3n(C)c21,-6.4319006614984,1.837,-2.4672562824835
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc5sccc5cc4C3=C(C#N)C#N)s2)sc2c1oc1c2ccc2c3ccc4c(oc5c(C)c(-c6ccc(C=CC=CC=C7C(=O)c8cc9sccc9cc8C7=C(C#N)C#N)s6)sc54)c3c3nsnc3c21,-7.303154788029301,2.2,-2.1102701220125497
Cc1c(C=CC=CC=CC=CC=C2C(=O)c3cc(Br)c(Cl)cc3C2=C(C#N)C#N)ncc2c1ccc1c3c4ccccc4c4c5ccc6c(C)c(C=CC=CC=CC=CC=C7C(=O)c8cc(Br)c(Cl)cc8C7=C(C#N)C#N)ncc6c5n(C)c4c3n(C)c21,-7.21006463977325,1.831,-2.32262777094275
Cc1c(-c2ccc(C=C3C(=O)c4cc(C(F)(F)F)ccc4C3=C(C#N)C#N)c3nsnc23)oc2c3ncc4c5cnc6c7oc(-c8ccc(C=C9C(=O)c%10cc(C(F)(F)F)ccc%10C9=C(C#N)C#N)c9nsnc89)c(C)c7n(C)c6c5c5nsnc5c4c3n(C)c12,-7.505090476485351,2.233,-2.5601559510442002
Cc1nc2c(nc1C)c1c3ccc4c(C)c(-c5ccc(-c6ccc(C=C7C(=O)c8cscc8C7=C(C#N)C#N)c7nsnc67)c6nsnc56)oc4c3cnc1c1ncc3c(ccc4c(C)c(-c5ccc(-c6ccc(C=C7C(=O)c8cscc8C7=C(C#N)C#N)c7nsnc67)c6nsnc56)oc43)c12,-7.4789947582224,2.432,-2.3672816538098003
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4c(Cl)cc(Br)cc4C3=C(C#N)C#N)[nH]2)sc2c3oc4c5oc6c7sc(-c8ccc(C=CC=CC=C9C(=O)c%10c(Cl)cc(Br)cc%10C9=C(C#N)C#N)[nH]8)c(C)c7n(C)c6c5c(F)c(F)c4c3n(C)c12,-6.9143040956648,1.954,-2.37661515888195
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(C(F)(F)F)ccc5C4=C(C#N)C#N)cc3)s2)ncc2c1ncc1c2sc2c3sc4c5cnc(-c6ccc(-c7ccc(C=C8C(=O)c9cc(C(F)(F)F)ccc9C8=C(C#N)C#N)cc7)s6)c(C)c5ncc4c3c3nonc3c12,-7.83946397597975,2.731,-2.26798730976235
Cc1c(-c2ccc(C=C3C(=O)c4c(csc4Cl)C3=C(C#N)C#N)[nH]2)n(C)c2c1sc1c2ccc2c3ccc4c(sc5c(C)c(-c6ccc(C=C7C(=O)c8c(csc8Cl)C7=C(C#N)C#N)[nH]6)n(C)c54)c3c3nccnc3c21,-7.215806242018801,2.451,-1.99021349117195
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)[nH]3)c3nsnc23)ncc2c3oc4c5oc6c7cnc(-c8ccc(-c9ccc(C=C%10C(=O)c%11cc(Cl)c(Cl)cc%11C%10=C(C#N)C#N)[nH]9)c9nsnc89)c(C)c7n(C)c6c5c5nsnc5c4c3n(C)c12,-7.4294156146613,2.518,-2.1913328380765003
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc6sccc6cc5C4=C(C#N)C#N)cc3)[nH]2)ccc2c1sc1c3c4nonc4c4c5sc6c(C)c(-c7ccc(-c8ccc(C=C9C(=O)c%10cc%11sccc%11cc%10C9=C(C#N)C#N)cc8)[nH]7)ccc6c5n(C)c4c3n(C)c21,-7.0388506050386495,2.676,-1.8991097740245502
Cc1c(C=C2C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)oc2c1n(C)c1c3c(F)c(F)c4c5c(c6oc(C=C7C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)c(C)c6n5C)n(C)c4c3n(C)c21,-7.33812141781855,2.186,-2.2926680360027
